Отметка времени,"Как вы себя чувствуете, когда оказались в центре внимания в малознакомой компании?",Как чаще всего принимаются ваши повседневные решения о покупках?,"Покупая сложную технику или мебель, какой подход вам ближе?",Что вы выберете при покупке повседневной вещи?,Быстро ли твой телефон разряжается?,Ты часто снимаешь на телефон фото/видео?,"При выборе предмета интерьера или одежды, что станет решающим фактором?",Часто ли твой телефон тормозит/лагает?,"Тебе важно, чтобы все приложения со временем работали одинаково?",Любите ли вы путешествовать?,"Как часто ты меняешь смартфон на новый? Введите число лет (целое, например: 2)","Как часто вы играете в видеоигры? Введите примерное кол-во часов в неделю (целое, например: 5)",Часто ли вы публикуете фотографии или видео в социальных сетях?,Часто ли вы смотрите фильмы и сериалы на телефоне?,"Цвет глаз? (С большой буквы в именительном падеже единственное число, например: Зеленый)","Ближайшая станция метро? (Точное название, например: Преображенская площадь, Сокольники и т.п.)",У тебя айфон или андроид?
11.09.2026 20:03:27,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Нет,Да,"Долговечность, польза",Нет,Да,Нет,4,4,Нет,Нет,Серый,Сокольники,Андроид
11.09.2026 20:03:29,Дискомфортно,Эмоционально,Самому всё собрать,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Да,Да,4,9,Нет,Да,Карий,Волоколамская ,Андроид
11.09.2026 20:03:39,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Нет,Нет,"Дизайн, эстетика",Нет,Да,Да,5,10,Нет,Нет,Серо-зелёный,Авиамоторная,Андроид
11.09.2026 20:03:46,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Да,Да,"Дизайн, эстетика",Нет,Да,Да,2,7,Нет,Да,Голубой,Ботанический сад,Андроид
11.09.2026 20:03:56,Дискомфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Нет,"Долговечность, польза",Нет,Да,Нет,6,30,Нет,Нет,Карий,ВДНХ,Андроид
11.09.2026 20:03:57,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Нет,Нет,"Дизайн, эстетика",Нет,Да,Да,5,0,Нет,Нет,серо-голубой,потапово,Айфон
11.09.2026 20:04:08,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Да,Нет,"Долговечность, польза",Нет,Да,Да,4,10,Нет,Нет,Карие,Южная,Айфон
11.09.2026 20:04:33,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Нет,Да,"Долговечность, польза",Нет,Да,Да,5,5,Нет,Да,Карии,Университет ,Андроид
11.09.2026 20:04:44,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Да,Нет,"Долговечность, польза",Нет,Да,Да,4,15,Нет,Нет,Голубой,Нагорная,Андроид
11.09.2026 20:04:45,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Да,Нет,"Долговечность, польза",Нет,Да,Да,5,2,Нет,Нет,Серый,Шаболовская,Айфон
11.09.2026 20:04:53,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Да,"Долговечность, польза",Нет,Нет,Да,5,7,Нет,Нет,Голубой,Преображенская площадь,Андроид
11.09.2026 20:05:05,Комфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Да,Да,"Долговечность, польза",Нет,Да,Да,4,3,Нет,Нет,Серый ,Верхние лихоборы,Андроид
11.09.2026 20:05:13,Дискомфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Нет,"Дизайн, эстетика",Нет,Да,Да,3,5,Нет,Да,Карий,Щукинская,Айфон
11.09.2026 20:05:23,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Да,"Долговечность, польза",Нет,Да,Нет,3,15,Нет,Да,Зеленый,Щелковская,Андроид
11.09.2026 20:05:25,Комфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Нет,Нет,5,35,Нет,Нет,Карий,Ховрино ,Андроид
11.09.2026 20:05:33,Комфортно,Эмоционально,Чтобы всё сразу работало из коробки,Что-то популярное,Нет,Нет,"Долговечность, польза",Нет,Да,Да,5,0,Нет,Да,Карий,Китай-Город,Айфон
11.09.2026 20:06:05,Дискомфортно,Рационально,Самому всё собрать,Что-то популярное,Да,Нет,"Долговечность, польза",Нет,Да,Да,3,1,Нет,Нет,Зеленый,ВДНХ,Андроид
11.09.2026 20:06:11,Дискомфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Да,Да,5,1,Нет,Нет,Серый,Зябликово,Андроид
11.09.2026 20:06:11,Комфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Нет,Да,6,0,Нет,Да,Голубой,Свиблово,Андроид
11.09.2026 20:06:17,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Да,"Долговечность, польза",Нет,Да,Да,4,3,Нет,Да,Голубой,Косино,Айфон
11.09.2026 20:06:26,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Да,Да,3,8,Нет,Да,Зелёный,Саларьево,Андроид
11.09.2026 20:06:36,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Нет,Нет,"Долговечность, польза",Нет,Да,Да,5,8,Нет,Да,Серый,Ясенево,Андроид
11.09.2026 20:06:41,Дискомфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Да,"Дизайн, эстетика",Нет,Нет,Нет,5,20,Нет,Нет,Зелёный,Отрадное,Андроид
11.09.2026 20:06:46,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Да,Да,5,2,Нет,Да,Карий,Измайловская,Айфон
11.09.2026 20:07:37,Комфортно,Эмоционально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Нет,Нет,"Дизайн, эстетика",Нет,Да,Да,5,0,Нет,Да,Серо-голубые ,Строгино,Андроид
11.09.2026 20:07:48,Дискомфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Да,"Долговечность, польза",Да,Да,Нет,6,130,Да,Нет,Красный,0,Андроид
11.09.2026 20:07:57,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Да,Да,"Долговечность, польза",Нет,Да,Да,5,1,Да,Да,Голубой,Свиблово,Айфон
11.09.2026 20:08:06,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Что-то популярное,Да,Нет,"Долговечность, польза",Нет,Да,Да,5,2,Нет,Нет,Зеленый,Черкизовская,Андроид
11.09.2026 20:08:11,Дискомфортно,Рационально,Самому всё собрать,Какой-то уникальный вариант,Нет,Нет,"Долговечность, польза",Нет,Нет,Да,4,20,Нет,Нет,Карий,Ростокино,Андроид
11.09.2026 20:08:44,Комфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Да,Нет,"Долговечность, польза",Нет,Да,Да,2,1,Нет,Да,Розовый,Чкаловская,Айфон
11.09.2026 20:08:51,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Да,Нет,"Дизайн, эстетика",Нет,Да,Нет,5,0,Нет,Да,Карий,Беляево,Айфон
11.09.2026 20:09:35,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Да,Нет,"Дизайн, эстетика",Нет,Да,Нет,5,40,Нет,Да,Серый,Сетунь,Андроид
11.09.2026 20:09:38,Дискомфортно,Рационально,Чтобы всё сразу работало из коробки,Какой-то уникальный вариант,Нет,Нет,"Дизайн, эстетика",Нет,Да,Да,8,2,Нет,Нет,Коричневый,Новокосино,Айфон
11.09.2026 20:14:18,Комфортно,Рационально,Самому всё собрать,Что-то популярное,Нет,Нет,"Дизайн, эстетика",Нет,Да,Нет,3,30,Нет,Да,Кал,Долгопрудная,Андроид
